trial_index,arm_name,trial_status,generation_method,metric,guidance_strength,beta1,beta2
0,0_0,COMPLETED,Sobol,-0.6910097002983093,2.1171437703247107,0.5919314680695533,0.49398472997546194
1,1_0,COMPLETED,Sobol,-0.8711541891098022,28.099892475485987,0.1714791677305475,0.8542765363706276
2,2_0,COMPLETED,Sobol,-0.7612555027008057,2906.2547641133024,0.7549474945943803,0.11508621314819902
3,3_0,COMPLETED,Sobol,-0.3389863967895508,0.03251873758910408,0.48845104564726355,0.7219650270184502
4,4_0,COMPLETED,Sobol,-0.5178549289703369,0.0013635830455932816,0.9140159705886617,0.9112919571250677
5,5_0,COMPLETED,Sobol,-0.7900604009628296,1333.0217442560008,0.33715648167114703,0.3042903167232871
6,6_0,COMPLETED,Sobol,-0.7538948655128479,9.26759666263918,0.7370940140336751,0.540197430934757
7,7_0,COMPLETED,Sobol,-0.3225799798965454,0.1055828518853348,0.0028717549424618484,0.17978278777375817
8,8_0,COMPLETED,Sobol,-0.6351755261421204,0.3943134712946843,0.8508825323497876,0.5900874084178358
9,9_0,COMPLETED,Sobol,-0.7162038087844849,4.611102685701764,0.39934487313497813,0.20013928875513376
10,10_0,COMPLETED,Sobol,-0.7092576026916504,356.85871211553604,0.5495162166897207,0.955545133156702
11,11_0,COMPLETED,Sobol,-0.319089412689209,0.0027401726198600707,0.18950452039763332,0.3146656696703285
12,12_0,COMPLETED,Sobol,-0.6629842519760132,0.009429494712975358,0.6540702482806519,0.0005894838022068142
13,13_0,COMPLETED,Sobol,-0.8717257380485535,6313.223527536535,0.1083342372989282,0.6413479071082547
14,14_0,COMPLETED,Sobol,-0.8147279620170593,96.92614702210953,0.9415382807962597,0.38946151666436346
15,15_0,COMPLETED,Sobol,-0.6699138283729553,0.9747587303875677,0.3008541343454272,0.7792885961467401
16,16_0,COMPLETED,Sobol,-0.743371307849884,0.4782429968382191,0.9708311376515776,0.23410628705006092
17,17_0,COMPLETED,Sobol,-0.872307538986206,129.2035557743381,0.2676608987264335,0.6224604901922867
18,18_0,COMPLETED,Sobol,-0.813812255859375,4698.3767602077,0.6792892679488286,0.34374684855993837
19,19_0,COMPLETED,Sobol,-0.3337717056274414,0.019368815552480382,0.07141015136707574,0.984998870476149
20,20_0,COMPLETED,Sobol,-0.28573644161224365,0.006093000996535099,0.5204653508774936,0.6748268723934889
